compound,compound_class,mechanism_of_action,n_image_run_dirs,n_active_image_run_dirs,image_run_dirs,active_image_run_dirs
(RS)-(Tetrazol-5-yl)glycine,Glutamate agonists,NMDAR activation,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 1 21 aug 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Rs tetrazol Glycine (RsT) Run 2 24 Aug 2018
4-Aminophenyl sulfone,"Mixed classes, no known link to seizures",Antibiotic (sulfonamide-like),2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run 2 24 july 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/4 aminophenyl sulfone run1 23 July 2017
4-aminopyridine,K+ channel blockers,Non-selective Kv blockade,4,4,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_0.2OD | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FIRST BATCH convulsants/Brain_Imaging_Rerun_-_New_Alignment/4AP_Round2_0.2OD | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 1 28 Jan 2019 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/4-Aminopyridine ReRun 2 20 Jan 2019
Aminophylline,Methylxanthine derivatives,P1 antagonism and PDE inhibition,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 24 nov 2016 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/SECOND BATCH convulsants/Aminophylline 30 nove 2016
Amitriptyline,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,5-HTR/a1R/H1/2R/mAChR antagonism",3,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run1 analysed by old script DONT USE,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitripityline Run 1 12 Feb 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amitriptyline Run 2 13 Feb 2018
Amoxapine,Tricyclic antidepressants,"NA/5-HT reuptake inhibitor,DAR/5-HTR/a1/2R/H1R antagonism",2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amoxipine Run 2 23 jan 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amoxipine run 1 22 jan 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amoxipine Run 2 23 jan 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amoxipine run 1 22 jan 2018
Amphetamine,Illicit drugs,DA/NA/5-HT reuptake inhibiton,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amphetamine Run 1 19 feb 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amphetamine Run 2 20 Feb 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amphetamine Run 1 19 feb 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/Amphetamine Run 2 20 Feb 2018
Apomorphine,"Mixed classes, unclear link to seizures",D1/2R/5-HT/aR agonism,4,4,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Apomorphine run 1 22 aug 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Apomorphine run 2 23 Aug 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETICS RERUN/Apomorphine run 1 22 aug 2017 DONE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETICS RERUN/Apomorphine run 2 23 Aug 2017 DONE,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Apomorphine run 1 22 aug 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETIC COMPOUNDS NOT CORRECTED FOR ANTERIOR COMMISSURE/Apomorphine run 2 23 Aug 2017 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETICS RERUN/Apomorphine run 1 22 aug 2017 DONE | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/EMETICS RERUN/Apomorphine run 2 23 Aug 2017 DONE
BW373U86*******,Opioid analgesics,δ-opioidR agonism,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/BW373U86 Run 1 22 oct 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/BW373U86 Run 2 26 Oct 2018,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/BW373U86 Run 1 22 oct 2018 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/FOURTH BATCH 2018/BW373U86 Run 2 26 Oct 2018
Bemegride,Analeptics,GABAAR antagonism,2,2,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17,/mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 1 1 June 17 | /mnt/tyler/Matt Winter/BRAIN IMAGES BACKUP/THIRD BATCH convulsants/Bemegride run 2 7 6 17
